Start_Time,Duration,Year,Month,Day,Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),numeric_weather,weekend,holiday,type_Clear,type_Moist,type_Rain,type_Snow
2017-01-01 00:00:00-05:00,18,2017,1,1,0,1.5,-3.6,69.0,39.0,16.1,0,1,0,1,0,0,0
2017-01-01 01:00:00-05:00,13,2017,1,1,1,1.5,-3.9,67.0,35.0,16.1,0,1,0,1,0,0,0
2017-01-01 02:00:00-05:00,15,2017,1,1,2,1.0,-4.3,68.0,32.0,16.1,0,1,0,1,0,0,0
2017-01-01 03:00:00-05:00,10,2017,1,1,3,1.2,-4.3,67.0,37.0,16.1,0,1,0,1,0,0,0
2017-01-01 04:00:00-05:00,5,2017,1,1,4,1.3,-4.4,66.0,28.0,16.1,0,1,0,1,0,0,0
2017-01-01 05:00:00-05:00,8,2017,1,1,5,1.0,-4.1,69.0,30.0,16.1,0,1,0,1,0,0,0
2017-01-01 06:00:00-05:00,1,2017,1,1,6,0.7,-4.4,69.0,35.0,16.1,0,1,0,1,0,0,0
2017-01-01 07:00:00-05:00,5,2017,1,1,7,0.0,-4.8,70.0,28.0,16.1,0,1,0,1,0,0,0
2017-01-01 08:00:00-05:00,7,2017,1,1,8,-0.3,-5.3,69.0,26.0,16.1,0,1,0,1,0,0,0
2017-01-01 09:00:00-05:00,5,2017,1,1,9,-0.1,-5.5,67.0,26.0,16.1,0,1,0,1,0,0,0
2017-01-01 10:00:00-05:00,7,2017,1,1,10,1.0,-5.2,63.0,22.0,16.1,0,1,0,1,0,0,0
2017-01-01 11:00:00-05:00,16,2017,1,1,11,1.9,-5.3,59.0,26.0,16.1,0,1,0,1,0,0,0
2017-01-01 12:00:00-05:00,24,2017,1,1,12,2.6,-5.3,56.0,18.0,16.1,0,1,0,1,0,0,0
2017-01-01 13:00:00-05:00,34,2017,1,1,13,2.6,-5.8,54.0,18.0,16.1,0,1,0,1,0,0,0
2017-01-01 14:00:00-05:00,42,2017,1,1,14,3.0,-5.5,54.0,17.0,16.1,0,1,0,1,0,0,0
2017-01-01 15:00:00-05:00,43,2017,1,1,15,2.9,-5.4,54.0,15.0,16.1,0,1,0,1,0,0,0
2017-01-01 16:00:00-05:00,48,2017,1,1,16,2.8,-4.9,57.0,21.0,16.1,0,1,0,1,0,0,0
2017-01-01 17:00:00-05:00,42,2017,1,1,17,1.8,-4.9,61.0,15.0,16.1,0,1,0,1,0,0,0
2017-01-01 18:00:00-05:00,49,2017,1,1,18,2.2,-4.6,61.0,18.0,16.1,0,1,0,1,0,0,0
2017-01-01 19:00:00-05:00,37,2017,1,1,19,1.2,-3.5,71.0,11.0,16.1,0,1,0,1,0,0,0
2017-01-01 20:00:00-05:00,35,2017,1,1,20,1.6,-2.2,76.0,18.0,16.1,0,1,0,1,0,0,0
2017-01-01 21:00:00-05:00,23,2017,1,1,21,0.7,-3.4,74.0,15.0,16.1,0,1,0,1,0,0,0
2017-01-01 22:00:00-05:00,6,2017,1,1,22,0.9,-2.9,76.0,11.0,16.1,0,1,0,1,0,0,0
2017-01-01 23:00:00-05:00,10,2017,1,1,23,0.6,-3.2,76.0,8.0,16.1,0,1,0,1,0,0,0
2017-01-02 00:00:00-05:00,9,2017,1,2,0,0.9,-2.6,77.0,0.0,16.1,0,0,0,1,0,0,0
2017-01-02 01:00:00-05:00,8,2017,1,2,1,-0.5,-2.7,85.0,4.0,16.1,0,0,0,1,0,0,0
2017-01-02 02:00:00-05:00,11,2017,1,2,2,0.7,-1.9,83.0,13.0,16.1,0,0,0,1,0,0,0
2017-01-02 03:00:00-05:00,2,2017,1,2,3,0.6,-2.6,79.0,17.0,16.1,0,0,0,1,0,0,0
